Frequent set: { El Salvador Aid }, support: 0.49
Frequent set: { Not Aid to Nicaraguan Contras }, support: 0.41
Frequent set: { Not MX Missile }, support: 0.47
Frequent set: { Export Administration Act South Africa }, support: 0.62
Frequent set: { Not Superfund Right to Sue }, support: 0.46
Frequent set: { Water Project Cost Sharing }, support: 0.45
Frequent set: { Democrat }, support: 0.61
Frequent set: { Physician Fee Freeze }, support: 0.41
Frequent set: { Handicapped Infants }, support: 0.43
Frequent set: { Republican }, support: 0.39
Frequent set: { Not Religious Groups in Schools }, support: 0.35
Frequent set: { Not Immigration }, support: 0.49
Frequent set: { Not Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Not El Salvador Aid }, support: 0.48
Frequent set: { Religious Groups in Schools }, support: 0.63
Frequent set: { MX Missile }, support: 0.48
Frequent set: { Not Synfuel Corporatino Cutback }, support: 0.61
Frequent set: { Not Anty Satellite Test Band }, support: 0.42
Frequent set: { Not Duty Free Exports }, support: 0.54
Frequent set: { Crime }, support: 0.57
Frequent set: { Duty Free Exports }, support: 0.40
Frequent set: { Not Handicapped Infants }, support: 0.54
Frequent set: { Synfuels Corporation Cutback }, support: 0.34
Frequent set: { Not Crime }, support: 0.39
Frequent set: { Aid to Nicaraguan Contras }, support: 0.56
Frequent set: { Not Physician Fee Freeze }, support: 0.57
Frequent set: { Immigration }, support: 0.50
Frequent set: { Education Spending }, support: 0.93
Frequent set: { Superfund Right to Sue }, support: 0.48
Frequent set: { Not Water Project Cost Sharing }, support: 0.44
Frequent set: { Adoption of the Budget Resolution }, support: 0.58
Frequent set: { Anti Satellite Test Band }, support: 0.55
Frequent set: { MX Missile, Not Crime }, support: 0.31
Frequent set: { Education Spending, Water Project Cost Sharing }, support: 0.41
Frequent set: { Anti Satellite Test Band, Education Spending }, support: 0.51
Frequent set: { Export Administration Act South Africa, Crime }, support: 0.34
Frequent set: { Not Physician Fee Freeze, Not Crime }, support: 0.37
Frequent set: { Religious Groups in Schools, El Salvador Aid }, support: 0.45
Frequent set: { Not Duty Free Exports, Physician Fee Freeze }, support: 0.34
Frequent set: { Education Spending, Not Crime }, support: 0.37
Frequent set: { Not El Salvador Aid, Not Crime }, support: 0.35
Frequent set: { Not Immigration, Democrat }, support: 0.32
Frequent set: { Immigration, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.48
Frequent set: { Education Spending, El Salvador Aid }, support: 0.46
Frequent set: { Anti Satellite Test Band, Duty Free Exports }, support: 0.33
Frequent set: { Republican, Not Synfuel Corporatino Cutback }, support: 0.32
Frequent set: { Not Immigration, Education Spending }, support: 0.45
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile }, support: 0.34
Frequent set: { Not El Salvador Aid, MX Missile }, support: 0.41
Frequent set: { Democrat, Not Religious Groups in Schools }, support: 0.31
Frequent set: { Religious Groups in Schools, Water Project Cost Sharing }, support: 0.31
Frequent set: { Religious Groups in Schools, Export Administration Act South Africa }, support: 0.36
Frequent set: { Religious Groups in Schools, Superfund Right to Sue }, support: 0.43
Frequent set: { Not Adoption of the Budget Resolution, Physician Fee Freeze }, support: 0.34
